specialty_clean,specialty,category,match_method,match_score
contactLensAndLowVisionAids,Contact Lens and Low Vision Aids,Ophthalmology,normalized_exact,1.000
jointRegeneration,Joint Regeneration,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
acuteChronicKidneyFailureHemodialysis,Acute Chronic Kidney Failure Hemodialysis,"Urology, Nephrology & Transplant",normalized_exact,1.000
neuroophthalmology,Neuroophthalmology,Neurology & Neurosurgery,normalized_exact,1.000
Stretch Marks Removal,Stretch Marks Removal,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
motherAndChild,Mother and Child,Pediatrics & Neonatology,normalized_exact,1.000
boneAndJoint,Bone and Joint,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
thoracicMedicine,Thoracic Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
tumorMarker,Tumor Marker,Oncology & Hematology,normalized_exact,1.000
thyroidAndParathyroidClinic,Thyroid and Parathyroid Clinic,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
Home Collection,Home Collection,"Administration, Operations & Support Services",normalized_exact,1.000
roboticHipReplacement,Robotic Hip Replacement,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
oculoPlasticsAndReconstructiveOrbitalSurgery,Oculo Plastics and Reconstructive Orbital Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
intrathecalDrugDeliverySystem,Intrathecal Drug Delivery System,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Gum treatments,Gum Treatments,"Dental, Oral & Maxillofacial",normalized_exact,1.000
prosthetics,Prosthetics,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
pediatricMinimallyInvasiveSurgery,Pediatric Minimally Invasive Surgery,Pediatrics & Neonatology,normalized_exact,1.000
Obsessive Compulsive Disorder OCD,Obsessive Compulsive Disorder Ocd,Other / Needs Review,normalized_exact,1.000
orthodonticsAndDentofacialOrthopaedics,Orthodontics and Dentofacial Orthopaedics,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
oralPathologyAndForensicOdontology,Oral Pathology and Forensic Odontology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Hip Replacement Surgery,Hip Replacement Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
sexologist,Sexologist,Other / Needs Review,normalized_exact,1.000
immunologyAndAutoimmunityLab,Immunology and Autoimmunity Lab,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
Smile design,Smile Design,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Obesityweight loss programs,Obesityweight Loss Programs,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
Carerisk management of diabetes,Carerisk Management of Diabetes,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
Carerisk management of heart disease,Carerisk Management of Heart Disease,Cardiology & Cardiothoracic,normalized_exact,1.000
bloodTransfusionMedicine,Blood Transfusion Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
cosmeticDentists,Cosmetic Dentists,"Dental, Oral & Maxillofacial",normalized_exact,1.000
neurosurgery,Neurosurgery,Neurology & Neurosurgery,normalized_exact,1.000
pulmonology,Pulmonology,Pulmonology & Respiratory,normalized_exact,1.000
jointReconstructionSurgery,Joint Reconstruction Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
gastrointestinalSurgery,Gastrointestinal Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
pediatricDentistry,Pediatric Dentistry,Pediatrics & Neonatology,normalized_exact,1.000
pediatricGastroenterology,Pediatric Gastroenterology,Pediatrics & Neonatology,normalized_exact,1.000
addictionPsychiatry,Addiction Psychiatry,Mental Health & Behavioral,normalized_exact,1.000
preventiveMedicine,Preventive Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
paediatricCardiology,Paediatric Cardiology,Cardiology & Cardiothoracic,normalized_exact,1.000
tavrtavicentre,Tavrtavicentre,Other / Needs Review,normalized_exact,1.000
neuroIntensiveCare,Neuro Intensive Care,"Emergency, Trauma & Critical Care",normalized_exact,1.000
neurotraumaNeurosurgery,Neurotrauma Neurosurgery,"Emergency, Trauma & Critical Care",normalized_exact,1.000
adultCriticalCareMedicare,Adult Critical Care Medicare,"Emergency, Trauma & Critical Care",normalized_exact,1.000
anaesthesiology,Anesthesiology,Anesthesia & Pain Medicine,manual,1.000
geriatricPsychiatry,Geriatric Psychiatry,Mental Health & Behavioral,normalized_exact,1.000
liverTransplantAndHepatobiliarySurgery,Liver Transplant and Hepatobiliary Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
immunology,Immunology,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
Diabetology,Diabetology,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
interventionalNeuroradiology,Interventional Neuroradiology,Neurology & Neurosurgery,normalized_exact,1.000
Cardiac Electrophysiology,Cardiac Electrophysiology,Cardiology & Cardiothoracic,normalized_exact,1.000
kneeJointReplacement,Knee Joint Replacement,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
dentalCosmeticAndImplantology,Dental Cosmetic and Implantology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
cardioVascularAndThoracicSurgery,Cardio Vascular and Thoracic Surgery,Cardiology & Cardiothoracic,normalized_exact,1.000
genetics,Genetics,Genetics & Reproductive Genomics,normalized_exact,1.000
amputeeAndProstheticsAndOrthoticsRehabilitation,Amputee and Prosthetics and Orthotics Rehabilitation,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
pharmacology,Pharmacology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
histoPathology,Histo Pathology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
dentalImplants,Dental Implants,"Dental, Oral & Maxillofacial",normalized_exact,1.000
lowVisionClinic,Low Vision Clinic,Ophthalmology,normalized_exact,1.000
valvularHeartSurgery,Valvular Heart Surgery,Cardiology & Cardiothoracic,normalized_exact,1.000
Laser Assisted Hatching,Laser Assisted Hatching,Other / Needs Review,normalized_exact,1.000
IUI,Iui,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
labMedicine,Lab Medicine,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
burns,Burns,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
pediatricDialysis,Pediatric Dialysis,Pediatrics & Neonatology,normalized_exact,1.000
interventionalPainManagement,Interventional Pain Management,Anesthesia & Pain Medicine,normalized_exact,1.000
peripheralVascularAndEndovascularSciences,Peripheral Vascular and Endovascular Sciences,Vascular & Endovascular,normalized_exact,1.000
liverTransplantAndBiliarySciences,Liver Transplant and Biliary Sciences,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
hepatologyAndLiverDiseases,Hepatology and Liver Diseases,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Interventional Cardiology,Interventional Cardiology,Cardiology & Cardiothoracic,normalized_exact,1.000
GI Surgery,GI Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
Pathology Laboratory,Pathology Laboratory,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
diagnosisAndBiopsy,Diagnosis and Biopsy,Other / Needs Review,normalized_exact,1.000
cardiovascularSurgery,Cardiovascular Surgery,Cardiology & Cardiothoracic,normalized_exact,1.000
radiationOncologist,Radiation Oncologist,Oncology & Hematology,normalized_exact,1.000
Gastro Sciences,Gastro Sciences,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Renal Sciences,Renal Sciences,"Urology, Nephrology & Transplant",normalized_exact,1.000
Orthopedics,Orthopedics,"Orthopedics, Spine & Sports Medicine",manual,1.000
cosmeticGynaecology,Cosmetic Gynaecology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
glaucoma,Glaucoma,Ophthalmology,normalized_exact,1.000
dieteticsAndClinicalNutrition,Dietetics and Clinical Nutrition,Nutrition & Dietetics,normalized_exact,1.000
urologyAndAndrology,Urology and Andrology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
CardioThoracic,Cardio Thoracic,Cardiology & Cardiothoracic,normalized_exact,1.000
arthroscopyCentre,Arthroscopy Centre,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Radiation Oncology,Radiation Oncology,Oncology & Hematology,normalized_exact,1.000
psychotherapy,Psychotherapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
Scalp Tumor,Scalp Tumor,Oncology & Hematology,normalized_exact,1.000
gynaecologicOncology,Gynaecologic Oncology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
engineeringAndMaintenance,Engineering and Maintenance,"Administration, Operations & Support Services",normalized_exact,1.000
respiratoryMedicineAndCriticalCare,Respiratory Medicine and Critical Care,"Emergency, Trauma & Critical Care",normalized_exact,1.000
pediatricRheumatology,Pediatric Rheumatology,Pediatrics & Neonatology,normalized_exact,1.000
occuloplastyAndCosmeticEnhancements,Occuloplasty and Cosmetic Enhancements,Ophthalmology,normalized_exact,1.000
cleftLipAndPalateSurgery,Cleft Lip and Palate Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
oralSurgery,Oral Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
kneeReplacement,Knee Replacement,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
ozoneTherapy,Ozone Therapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
nephroSurgery,Nephro Surgery,"Urology, Nephrology & Transplant",normalized_exact,1.000
pl asticSurgery,Pl Astic Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
Periodontology,Periodontology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Immunology,Immunology,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
pediatricIntensiveCare,Pediatric Intensive Care,"Emergency, Trauma & Critical Care",normalized_exact,1.000
brainInjuryMedicinePMR,Brain Injury Medicine Pmr,Neurology & Neurosurgery,normalized_exact,1.000
adolescence,Adolescence,Other / Needs Review,normalized_exact,1.000
paedodontics,Paedodontics,Pediatrics & Neonatology,normalized_exact,1.000
intensivecritical care,Intensivecritical Care,"Emergency, Trauma & Critical Care",normalized_exact,1.000
obstetricsAndGynacology,Obstetrics and Gynacology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
Infertility,Infertility,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
comprehensiveOralHealthcare,Comprehensive Oral Healthcare,"Dental, Oral & Maxillofacial",normalized_exact,1.000
hematologyLaboratory,Hematology Laboratory,Oncology & Hematology,normalized_exact,1.000
